timestamp,airspeed_timestamp_rel,distance_sensor_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,visual_odometry_timestamp_rel
6970976000,32767,32767,32767,32767,32767,32767
6970980000,32767,32767,32767,32767,32767,32767
6970984000,32767,32767,32767,32767,32767,32767
6970988000,32767,32767,32767,32767,32767,32767
6970992000,32767,32767,32767,-40,32767,32767
6970996000,32767,32767,32767,32767,32767,32767
6971000000,32767,32767,32767,32767,32767,32767
6971004000,32767,32767,32767,32767,32767,32767
6971008000,32767,32767,32767,32767,32767,32767
6971012000,32767,32767,32767,32767,32767,32767
6971016000,32767,32767,32767,32767,32767,32767
6971020000,32767,32767,32767,32767,32767,32767
6971024000,32767,32767,32767,32767,32767,32767
6971028000,32767,32767,32767,32767,32767,32767
6971032000,32767,32767,32767,32767,32767,32767
6971036000,32767,32767,32767,32767,0,32767
6971040000,32767,32767,32767,32767,32767,32767
6971044000,32767,32767,32767,32767,32767,32767
6971048000,32767,32767,32767,32767,32767,32767
6971052000,32767,32767,32767,32767,32767,32767
6971056000,32767,32767,32767,32767,32767,32767
6971060000,32767,32767,32767,32767,32767,32767
6971064000,32767,32767,32767,32767,32767,32767
6971068000,32767,32767,32767,32767,32767,32767
6971072000,32767,32767,32767,32767,0,32767
6971076000,32767,32767,32767,32767,32767,32767
6971080000,32767,32767,32767,32767,32767,32767
6971084000,32767,32767,32767,0,32767,32767
6971088000,32767,32767,32767,32767,32767,32767
6971092000,32767,32767,32767,32767,32767,32767
6971096000,32767,32767,32767,32767,32767,32767
6971100000,32767,32767,32767,32767,32767,32767
6971104000,32767,32767,32767,32767,32767,32767
6971108000,32767,32767,32767,0,32767,32767
6971112000,32767,32767,32767,32767,32767,32767
6971116000,32767,32767,32767,32767,32767,32767
6971120000,32767,32767,32767,32767,32767,32767
6971124000,32767,32767,32767,32767,32767,32767
6971128000,32767,32767,32767,32767,32767,32767
6971132000,32767,32767,32767,32767,32767,32767
6971136000,32767,32767,32767,32767,32767,32767
6971140000,32767,32767,32767,32767,32767,32767
6971144000,32767,32767,32767,32767,32767,32767
6971148000,32767,32767,32767,32767,32767,32767
6971152000,32767,32767,32767,32767,32767,32767
6971156000,32767,32767,32767,32767,32767,32767
6971160000,32767,32767,32767,32767,32767,32767
6971164000,32767,32767,32767,32767,32767,32767
6971168000,32767,32767,32767,32767,32767,32767
6971172000,32767,32767,32767,32767,32767,32767
6971176000,32767,32767,32767,32767,32767,32767
6971180000,32767,32767,32767,32767,0,32767
6971184000,32767,32767,32767,32767,32767,32767
6971188000,32767,32767,32767,32767,32767,32767
6971192000,32767,32767,32767,32767,32767,32767
6971196000,32767,32767,32767,32767,32767,32767
6971200000,32767,32767,32767,32767,32767,32767
6971204000,32767,32767,32767,32767,32767,32767
6971208000,32767,32767,32767,-40,-40,32767
6971212000,32767,32767,32767,32767,32767,32767
6971216000,32767,32767,32767,32767,32767,32767
6971220000,32767,32767,32767,32767,32767,32767
6971224000,32767,32767,32767,32767,32767,32767
6971228000,32767,32767,32767,-40,32767,32767
6971232000,32767,32767,32767,32767,32767,32767
6971236000,32767,32767,32767,32767,32767,32767
6971240000,32767,32767,32767,32767,32767,32767
6971244000,32767,32767,32767,32767,32767,32767
6971248000,32767,32767,32767,32767,32767,32767
6971252000,32767,32767,32767,32767,32767,32767
6971256000,32767,32767,32767,32767,32767,32767
6971260000,32767,32767,32767,32767,32767,32767
6971264000,32767,32767,32767,32767,32767,32767
6971268000,32767,32767,32767,32767,32767,32767
6971272000,32767,32767,32767,32767,32767,32767
6971276000,32767,32767,32767,32767,32767,32767
6971280000,32767,32767,32767,32767,32767,32767
6971284000,32767,32767,32767,32767,32767,32767
6971288000,32767,32767,32767,32767,32767,32767
6971292000,32767,32767,32767,32767,32767,32767
6971296000,32767,32767,32767,32767,32767,32767
6971300000,32767,32767,32767,32767,32767,32767
6971304000,32767,32767,32767,-40,32767,32767
6971308000,32767,32767,32767,32767,32767,32767
6971312000,32767,32767,32767,32767,32767,32767
6971316000,32767,32767,32767,32767,32767,32767
6971320000,32767,32767,32767,32767,0,32767
6971324000,32767,32767,32767,32767,32767,32767
6971328000,32767,32767,32767,32767,32767,32767
6971332000,32767,32767,32767,32767,32767,32767
6971336000,32767,32767,32767,32767,32767,32767
6971340000,32767,32767,32767,32767,32767,32767
6971344000,32767,32767,32767,32767,32767,32767
6971348000,32767,32767,32767,-40,-40,32767
6971352000,32767,32767,32767,32767,32767,32767
6971356000,32767,32767,32767,32767,32767,32767
6971360000,32767,32767,32767,32767,32767,32767
6971364000,32767,32767,32767,32767,32767,32767
6971368000,32767,32767,32767,32767,32767,32767
6971372000,32767,32767,32767,32767,32767,32767
6971376000,32767,32767,32767,32767,32767,32767
6971380000,32767,32767,32767,32767,32767,32767
6971384000,32767,32767,32767,32767,32767,32767
6971388000,32767,32767,32767,32767,32767,32767
6971392000,32767,32767,32767,32767,32767,32767
6971396000,32767,32767,32767,32767,32767,32767
6971400000,32767,32767,32767,-40,32767,32767
6971404000,32767,32767,32767,32767,32767,32767
6971408000,32767,32767,32767,32767,32767,32767
6971412000,32767,32767,32767,32767,32767,32767
6971416000,32767,32767,32767,32767,32767,32767
6971420000,32767,32767,32767,32767,32767,32767
6971424000,32767,32767,32767,32767,32767,32767
6971428000,32767,32767,32767,32767,32767,32767
6971432000,32767,32767,32767,32767,32767,32767
6971436000,32767,32767,32767,32767,32767,32767
6971440000,32767,32767,32767,32767,32767,32767
6971444000,32767,32767,32767,32767,32767,32767
6971448000,32767,32767,32767,32767,32767,32767
6971452000,32767,32767,32767,32767,32767,32767
6971456000,32767,32767,32767,32767,32767,32767
6971460000,32767,32767,32767,32767,-40,32767
6971464000,32767,32767,32767,32767,32767,32767
6971468000,32767,32767,32767,32767,32767,32767
6971472000,32767,32767,32767,-40,32767,32767
6971476000,32767,32767,32767,32767,32767,32767
6971480000,32767,32767,32767,32767,0,32767
6971484000,32767,32767,32767,32767,32767,32767
6971488000,32767,32767,32767,32767,32767,32767
6971492000,32767,32767,32767,32767,32767,32767
6971496000,32767,32767,32767,32767,32767,32767
6971500000,32767,32767,32767,32767,32767,32767
6971504000,32767,32767,32767,32767,32767,32767
6971508000,32767,32767,32767,32767,32767,32767
6971512000,32767,32767,32767,32767,32767,32767
6971516000,32767,32767,32767,32767,32767,32767
6971520000,32767,32767,32767,-40,32767,32767
6971524000,32767,32767,32767,32767,32767,32767
6971528000,32767,32767,32767,32767,32767,32767
6971532000,32767,32767,32767,32767,32767,32767
6971536000,32767,32767,32767,32767,32767,32767
6971540000,32767,32767,32767,32767,32767,32767
6971544000,32767,32767,32767,32767,32767,32767
6971548000,32767,32767,32767,32767,32767,32767
6971552000,32767,32767,32767,32767,32767,32767
6971556000,32767,32767,32767,32767,32767,32767
6971560000,32767,32767,32767,32767,32767,32767
