timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
6971428000,6971428000,0.86447465,-0.0066422042,-0.0032262434,-0.50262225,0.9999885,2.4009458e-10,-3.702057e-10,0.004809989,4
6971928000,6971928000,0.86461097,-0.0065601207,-0.0032970987,-0.50238836,0.9999885,2.4009458e-10,-3.702057e-10,0.004809989,4
6972432000,6972432000,0.8646813,-0.006681515,-0.0033781074,-0.5022652,0.9999885,2.4009458e-10,-3.702057e-10,0.004809989,4
6972932000,6972932000,0.86479354,-0.0067343437,-0.0033602016,-0.5020714,0.9999885,2.4009458e-10,-3.702057e-10,0.004809989,4
6973432000,6973432000,0.86480826,-0.0068295593,-0.0033367549,-0.50204486,0.9999885,2.4009458e-10,-3.702057e-10,0.004809989,4
6973932000,6973932000,0.86480474,-0.006886231,-0.0035045166,-0.50204885,0.9999885,2.4009458e-10,-3.702057e-10,0.004809989,4
6974432000,6974432000,0.86479664,-0.0065073506,-0.0035971964,-0.50206727,0.9999885,2.4009458e-10,-3.702057e-10,0.004809989,4
6974928000,6974928000,0.8648597,-0.006770118,-0.0033171137,-0.50195706,0.9999885,2.4009458e-10,-3.702057e-10,0.004809989,4
6975432000,6975432000,0.86491036,-0.006769785,-0.0033316617,-0.5018697,0.9999885,2.4009458e-10,-3.702057e-10,0.004809989,4
6975928000,6975928000,0.86480784,-0.0068189795,-0.0035083552,-0.5020446,0.9999885,2.4009458e-10,-3.702057e-10,0.004809989,4
6976432000,6976432000,0.8649073,-0.006695662,-0.0036283212,-0.5018739,0.9999885,2.4009458e-10,-3.702057e-10,0.004809989,4
6976928000,6976928000,0.8648349,-0.0062902695,-0.0032008148,-0.50200695,0.9999885,2.4009458e-10,-3.702057e-10,0.004809989,4
6977432000,6977432000,0.86324877,0.0024188808,0.002274371,-0.5047678,0.9999885,2.4009458e-10,-3.702057e-10,0.004809989,4
6977932000,6977932000,0.86337733,-0.0056966133,-0.0038260878,-0.50451213,0.9999885,2.4009458e-10,-3.702057e-10,0.004809989,4
6978428000,6978428000,0.86356056,-0.0070126923,-0.003309344,-0.50418544,0.9999885,2.4009458e-10,-3.702057e-10,0.004809989,4
6978932000,6978932000,0.8657747,-0.006724389,-0.0019100235,-0.5003853,0.9999952,-9.556107e-10,9.742178e-11,0.0031270338,5
6979432000,6979432000,0.86553735,-0.0062234756,-0.0011256344,-0.5008045,0.9999952,-9.556107e-10,9.742178e-11,0.0031270338,5
6979932000,6979932000,0.8657478,-0.0067736264,-0.0012469268,-0.5004332,0.9999952,-9.556107e-10,9.742178e-11,0.0031270338,5
6980432000,6980432000,0.8658529,-0.0072272224,-0.0014413022,-0.50024444,0.9999952,-9.556107e-10,9.742178e-11,0.0031270338,5
6980932000,6980932000,0.865667,-0.0042903544,0.0012971447,-0.5006003,0.9999952,-9.556107e-10,9.742178e-11,0.0031270338,5
6981432000,6981432000,0.86450666,0.029102549,0.021223357,-0.50132906,0.9999952,-9.556107e-10,9.742178e-11,0.0031270338,5
6981932000,6981932000,0.8577625,0.092824645,0.06006948,-0.5020147,0.9999952,-9.556107e-10,9.742178e-11,0.0031270338,5
