timestamp,last_instance_change,instance_changed_count,accel_device_id,baro_device_id,gyro_device_id,mag_device_id,combined_test_ratio[0],combined_test_ratio[1],combined_test_ratio[2],combined_test_ratio[3],combined_test_ratio[4],combined_test_ratio[5],combined_test_ratio[6],combined_test_ratio[7],combined_test_ratio[8],relative_test_ratio[0],relative_test_ratio[1],relative_test_ratio[2],relative_test_ratio[3],relative_test_ratio[4],relative_test_ratio[5],relative_test_ratio[6],relative_test_ratio[7],relative_test_ratio[8],accumulated_gyro_error[0],accumulated_gyro_error[1],accumulated_gyro_error[2],accumulated_gyro_error[3],accumulated_accel_error[0],accumulated_accel_error[1],accumulated_accel_error[2],accumulated_accel_error[3],primary_instance,instances_available,healthy[0],healthy[1],healthy[2],healthy[3],healthy[4],healthy[5],healthy[6],healthy[7],healthy[8],gyro_fault_detected,accel_fault_detected
6970216000,912000,1,1310988,6620172,1310988,197388,0.0057669193,0.005977962,0.0059779156,0.0057671284,0.0059780693,0.0059779817,nan,nan,nan,0.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,6,1,1,1,1,1,1,0,0,0,0,0
6971224000,912000,1,1310988,6620172,1310988,197388,0.006836488,0.0068216706,0.0068207993,0.006836488,0.0068216706,0.0068207993,nan,nan,nan,0.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,6,1,1,1,1,1,1,0,0,0,0,0
6972232000,912000,1,1310988,6620172,1310988,197388,0.005434652,0.0051915087,0.005724728,0.0054348037,0.005191585,0.0051914807,nan,nan,nan,0.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,6,1,1,1,1,1,1,0,0,0,0,0
6973240000,912000,1,1310988,6620172,1310988,197388,0.0038193702,0.0037949313,0.0037949185,0.0038192929,0.0037949057,0.003794867,nan,nan,nan,0.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,6,1,1,1,1,1,1,0,0,0,0,0
6974248000,912000,1,1310988,6620172,1310988,197388,0.005619361,0.0055611036,0.0055611115,0.0056188926,0.0055610146,0.005561004,nan,nan,nan,0.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,6,1,1,1,1,1,1,0,0,0,0,0
6975256000,912000,1,1310988,6620172,1310988,197388,0.0047534644,0.0047431784,0.004743316,0.0047528907,0.004743098,0.0047431644,nan,nan,nan,0.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,6,1,1,1,1,1,1,0,0,0,0,0
6976264000,912000,1,1310988,6620172,1310988,197388,0.010690414,0.010607974,0.010607947,0.010690414,0.010607947,0.01060788,nan,nan,nan,0.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,6,1,1,1,1,1,1,0,0,0,0,0
6977272000,912000,1,1310988,6620172,1310988,197388,0.00329711,0.0033363276,0.0033354561,0.0032962386,0.0033354561,0.0033354561,nan,nan,nan,0.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,6,1,1,1,1,1,1,0,0,0,0,0
6978280000,912000,1,1310988,6620172,1310988,197388,0.018948624,0.01850727,0.018508827,0.018959409,0.018514663,0.018515792,nan,nan,nan,0.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,6,1,1,1,1,1,1,0,0,0,0,0
6979288000,912000,1,1310988,6620172,1310988,197388,0.011298157,0.010416617,0.010413136,0.0113045,0.010418786,0.010415309,nan,nan,nan,0.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,6,1,1,1,1,1,1,0,0,0,0,0
