timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
6970976000,6970976000,0.8645003,-0.0068310313,-0.0030951109,-0.50257653,0.9999869,-3.1766498e-10,7.4603206e-11,0.005115752,4
6970984000,6970984000,0.8645002,-0.0068279514,-0.0030971868,-0.5025765,0.9999869,-3.1766498e-10,7.4603206e-11,0.005115752,4
6970988000,6970988000,0.8645025,-0.0068325247,-0.0030964795,-0.5025726,0.9999869,-3.1766498e-10,7.4603206e-11,0.005115752,4
6970992000,6970992000,0.8645017,-0.006840271,-0.0030896445,-0.50257385,0.9999869,-3.1766498e-10,7.4603206e-11,0.005115752,4
6970996000,6970996000,0.8644987,-0.0068444377,-0.003083052,-0.5025793,0.9999869,-3.1766498e-10,7.4603206e-11,0.005115752,4
6971004000,6971004000,0.86449504,-0.00682718,-0.0030914822,-0.5025857,0.9999869,-3.1766498e-10,7.4603206e-11,0.005115752,4
6971008000,6971008000,0.8644979,-0.006803517,-0.0031046905,-0.50258076,0.9999869,-3.1766498e-10,7.4603206e-11,0.005115752,4
6971012000,6971012000,0.8644973,-0.0067728846,-0.0031250592,-0.5025823,0.9999869,-3.1766498e-10,7.4603206e-11,0.005115752,4
6971016000,6971016000,0.8644961,-0.006756373,-0.003134755,-0.5025843,0.9999869,-3.1766498e-10,7.4603206e-11,0.005115752,4
6971024000,6971024000,0.8644975,-0.0068276054,-0.0030885488,-0.5025814,0.9999869,-3.1766498e-10,7.4603206e-11,0.005115752,4
6971032000,6971032000,0.8644887,-0.006817097,-0.0030991675,-0.50259656,0.9999869,-3.1766498e-10,7.4603206e-11,0.005115752,4
6971040000,6971040000,0.86448926,-0.006816636,-0.0030982797,-0.50259566,0.9999869,-3.1766498e-10,7.4603206e-11,0.005115752,4
6971044000,6971044000,0.8644946,-0.0067948904,-0.0031084274,-0.50258666,0.9999869,-3.1766498e-10,7.4603206e-11,0.005115752,4
6971052000,6971052000,0.86449945,-0.006788244,-0.0031159667,-0.5025784,0.9999869,-3.1766498e-10,7.4603206e-11,0.005115752,4
6971060000,6971060000,0.86449635,-0.0068001593,-0.0031090607,-0.5025835,0.9999869,-3.1766498e-10,7.4603206e-11,0.005115752,4
6971064000,6971064000,0.8644951,-0.00680917,-0.0031087503,-0.5025856,0.9999869,-3.1766498e-10,7.4603206e-11,0.005115752,4
6971068000,6971068000,0.8644944,-0.0068175946,-0.003103215,-0.5025868,0.9999869,-3.1766498e-10,7.4603206e-11,0.005115752,4
