timestamp,freefall,ground_contact,maybe_landed,landed,in_ground_effect,in_descend,has_low_throttle,vertical_movement,horizontal_movement,close_to_ground_or_skipped_check,at_rest
6969984000,0,1,1,1,1,1,1,0,0,1,1
6970984000,0,1,1,1,1,1,1,0,0,1,1
6971984000,0,1,1,1,1,1,1,0,0,1,1
6972984000,0,1,1,1,1,1,1,0,0,1,1
6973344000,0,1,1,1,0,0,1,0,0,1,1
6974344000,0,1,1,1,0,0,1,0,0,1,1
6975344000,0,1,1,1,0,0,1,0,0,1,1
6975480000,0,1,1,1,1,0,1,0,0,1,1
6976272000,0,1,0,0,1,0,1,0,0,1,0
6976280000,0,0,0,0,1,0,1,0,0,1,0
6977280000,0,0,0,0,1,0,0,1,0,1,0
6978280000,0,0,0,0,1,0,0,1,0,1,0
6979280000,0,0,0,0,1,0,0,1,0,1,0
6979304000,0,0,0,0,0,0,0,1,0,1,0
6980304000,0,0,0,0,0,0,0,1,0,1,0
6981304000,0,0,0,0,0,0,0,1,0,1,0
6982304000,0,0,0,0,0,0,0,1,0,1,0
6983304000,0,0,0,0,0,0,0,1,1,1,0
6984304000,0,0,0,0,0,0,0,1,1,1,0
6985304000,0,0,0,0,0,0,0,1,1,1,0
6986304000,0,0,0,0,0,0,0,1,1,1,0
6987304000,0,0,0,0,0,0,0,1,1,1,0
6988304000,0,0,0,0,0,0,0,1,1,1,0
6989304000,0,0,0,0,0,0,0,1,1,1,0
6990304000,0,0,0,0,0,0,0,1,1,1,0
6991304000,0,0,0,0,0,0,0,1,1,1,0
6992304000,0,0,0,0,0,0,0,1,1,1,0
6993304000,0,0,0,0,0,0,0,1,1,1,0
6994304000,0,0,0,0,0,0,0,1,1,1,0
6995304000,0,0,0,0,0,0,0,1,1,1,0
6996304000,0,0,0,0,0,0,0,1,0,1,0
6997304000,0,0,0,0,0,0,0,0,0,1,0
6998304000,0,0,0,0,0,0,0,0,0,1,0
6999304000,0,0,0,0,0,0,0,0,0,1,0
7000304000,0,0,0,0,0,0,0,0,0,1,0
7001304000,0,0,0,0,0,0,0,0,0,1,0
7002304000,0,0,0,0,0,0,0,0,0,1,0
7003304000,0,0,0,0,0,0,0,0,0,1,0
7004304000,0,0,0,0,0,0,0,0,0,1,0
7005304000,0,0,0,0,0,0,0,0,0,1,0
7006304000,0,0,0,0,0,0,0,0,0,1,0
7007304000,0,0,0,0,0,0,0,0,0,1,0
7008304000,0,0,0,0,0,0,0,0,0,1,0
7009304000,0,0,0,0,0,0,0,0,0,1,0
7010304000,0,0,0,0,0,0,0,0,0,1,0
7011304000,0,0,0,0,0,0,0,0,0,1,0
7012304000,0,0,0,0,0,0,0,0,0,1,0
7013304000,0,0,0,0,0,0,0,0,0,1,0
7014304000,0,0,0,0,0,0,0,0,0,1,0
7015304000,0,0,0,0,0,0,0,1,0,1,0
7016304000,0,0,0,0,0,0,0,0,1,1,0
7017304000,0,0,0,0,0,0,0,0,1,1,0
7018304000,0,0,0,0,0,0,0,0,1,1,0
7019304000,0,0,0,0,0,0,0,0,1,1,0
7020304000,0,0,0,0,0,0,0,0,1,1,0
7021304000,0,0,0,0,0,0,0,0,0,1,0
7022304000,0,0,0,0,0,0,0,0,0,1,0
7023304000,0,0,0,0,0,0,0,0,0,1,0
7024304000,0,0,0,0,0,0,0,1,0,1,0
7025304000,0,0,0,0,0,0,0,1,1,1,0
7026304000,0,0,0,0,0,0,0,1,1,1,0
7027304000,0,0,0,0,0,0,0,1,1,1,0
7028304000,0,0,0,0,0,0,0,1,1,1,0
7029304000,0,0,0,0,0,0,0,1,1,1,0
7030304000,0,0,0,0,0,0,0,1,1,1,0
7031304000,0,0,0,0,0,0,0,1,1,1,0
7032304000,0,0,0,0,0,0,0,1,1,1,0
7033304000,0,0,0,0,0,0,0,1,1,1,0
7034304000,0,0,0,0,0,0,0,1,1,1,0
7035304000,0,0,0,0,0,0,0,1,1,1,0
7036304000,0,0,0,0,0,0,0,1,1,1,0
7037304000,0,0,0,0,0,0,0,1,1,1,0
7038304000,0,0,0,0,0,0,0,1,1,1,0
7039304000,0,0,0,0,0,0,0,1,0,1,0
7040304000,0,0,0,0,0,0,0,0,0,1,0
7041304000,0,0,0,0,0,0,0,1,0,1,0
7041312000,0,0,0,0,1,1,0,1,0,1,0
7042312000,0,0,0,0,1,1,0,1,0,1,0
7043312000,0,0,0,0,1,1,0,1,0,1,0
7044312000,0,0,0,0,1,1,1,0,0,1,0
7044640000,0,1,0,0,1,1,1,0,0,1,0
7044664000,0,0,0,0,1,1,1,1,0,1,0
7045304000,0,1,0,0,1,1,1,0,0,1,0
7045656000,0,1,1,0,1,1,1,0,0,1,0
7045992000,0,1,1,1,1,1,1,0,0,1,0
7046784000,0,1,1,1,1,1,1,0,0,1,1
7047784000,0,1,1,1,1,1,1,0,0,1,1
7048784000,0,1,1,1,1,1,1,0,0,1,1
