timestamp,device_id,min_distance,max_distance,current_distance,variance,h_fov,v_fov,q[0],q[1],q[2],q[3],signal_quality,type,orientation
6970972000,10118148,0.01,5.0,0.93,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6971024000,10118148,0.01,5.0,0.93,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6971076000,10118148,0.01,5.0,0.93,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6971128000,10118148,0.01,5.0,0.93,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6971180000,10118148,0.01,5.0,0.93,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6971232000,10118148,0.01,5.0,0.93,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6971280000,10118148,0.01,5.0,0.93,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6971336000,10118148,0.01,5.0,0.93,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6971388000,10118148,0.01,5.0,0.93,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6971440000,10118148,0.01,5.0,0.93,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6971492000,10118148,0.01,5.0,0.93,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6971544000,10118148,0.01,5.0,0.93,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6971596000,10118148,0.01,5.0,0.93,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6971648000,10118148,0.01,5.0,0.93,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6971696000,10118148,0.01,5.0,0.93,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6971752000,10118148,0.01,5.0,0.93,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6971804000,10118148,0.01,5.0,0.93,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6971856000,10118148,0.01,5.0,0.93,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6971908000,10118148,0.01,5.0,0.93,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6971956000,10118148,0.01,5.0,0.93,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6972012000,10118148,0.01,5.0,0.93,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6972064000,10118148,0.01,5.0,0.93,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6972116000,10118148,0.01,5.0,0.93,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6972168000,10118148,0.01,5.0,0.93,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6972216000,10118148,0.01,5.0,0.93,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6972272000,10118148,0.01,5.0,0.93,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6972324000,10118148,0.01,5.0,0.93,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6972376000,10118148,0.01,5.0,0.93,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
