timestamp,timestamp_sample,gyro_device_id,gyro_bias[0],gyro_bias[1],gyro_bias[2],gyro_bias_limit,gyro_bias_variance[0],gyro_bias_variance[1],gyro_bias_variance[2],accel_device_id,accel_bias[0],accel_bias[1],accel_bias[2],accel_bias_limit,accel_bias_variance[0],accel_bias_variance[1],accel_bias_variance[2],mag_device_id,mag_bias[0],mag_bias[1],mag_bias[2],mag_bias_limit,mag_bias_variance[0],mag_bias_variance[1],mag_bias_variance[2],gyro_bias_valid,gyro_bias_stable,accel_bias_valid,accel_bias_stable,mag_bias_valid,mag_bias_stable
6970932000,6970852000,1310996,-0.0009547595,0.00045653657,0.00041820688,0.34906584,1.379241e-07,1.3789715e-07,4.0456894e-07,1310996,-0.0029429398,-0.0027236836,0.05815005,0.4,0.0007822022,0.0007822018,0.00078123936,197644,0.0002858468,-0.00017570842,0.0018279147,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,1,1,0
6971348000,6971268000,1310996,-0.00096118776,0.0004528842,0.00041671612,0.34906584,1.3791879e-07,1.3789274e-07,4.0340277e-07,1310996,-0.0029482741,-0.002719185,0.059316825,0.4,0.00078222953,0.0007822293,0.00078123936,197644,0.0002858468,-0.00017570842,0.0018279147,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,1,1,0
6971764000,6971684000,1310996,-0.00096310076,0.00046140005,0.00041612642,0.34906584,1.3791117e-07,1.3788372e-07,4.02255e-07,1310996,-0.002941285,-0.0027155424,0.05790039,0.4,0.0007822559,0.0007822556,0.00078123936,197644,0.0002858468,-0.00017570842,0.0018279147,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,1,1,0
6972388000,6972308000,1310996,-0.00096089125,0.00046676403,0.0004075296,0.34906584,1.3790871e-07,1.3788193e-07,4.0057492e-07,1310996,-0.0029384943,-0.0027153182,0.059181456,0.4,0.0007822975,0.000782297,0.00078123936,197644,0.0002858468,-0.00017570842,0.0018279147,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,1,1,0
6973012000,6972932000,1310996,-0.0009567975,0.00046351296,0.00039782262,0.34906584,1.3791103e-07,1.3788701e-07,3.9894374e-07,1310996,-0.0029404133,-0.0027181439,0.063306294,0.4,0.0007823396,0.00078233884,0.00078123936,197644,0.0002858468,-0.00017570842,0.0018279147,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,1,1,0
6973220000,6973140000,1310996,-0.0009534279,0.0004597908,0.00039875298,0.34906584,1.3791174e-07,1.3788937e-07,3.9841e-07,1310996,-0.0029421079,-0.002721691,0.06537912,0.4,0.00078235404,0.0007823533,0.00078123936,197644,0.0002858468,-0.00017570842,0.0018279147,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,1,1,0
6973428000,6973348000,1310996,-0.0009575809,0.0004680399,0.0003959228,0.34906584,1.3791518e-07,1.3789032e-07,3.9787835e-07,1310996,-0.002937334,-0.0027162593,0.06757921,0.4,0.00078236824,0.0007823677,0.00078123936,197644,0.0002858468,-0.00017570842,0.0018279147,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,1,1,0
6974052000,6973972000,1310996,-0.00097443146,0.00046395513,0.00039424913,0.34906584,1.3790728e-07,1.3788147e-07,3.9631934e-07,1310996,-0.002943842,-0.0027048823,0.06920039,0.4,0.0007824099,0.00078240904,0.00078123936,197644,0.0002858468,-0.00017570842,0.0018279147,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,1,1,0
6974260000,6974180000,1310996,-0.0009834543,0.00046500564,0.0003916283,0.34906584,1.3790786e-07,1.378808e-07,3.9580786e-07,1310996,-0.0029443675,-0.0026984145,0.07089469,0.4,0.0007824246,0.0007824235,0.00078123936,197644,0.0002858468,-0.00017570842,0.0018279147,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,1,1,0
6974468000,6974388000,1310996,-0.0009830557,0.00046000184,0.00039030757,0.34906584,1.3791431e-07,1.3788879e-07,3.960246e-07,1310996,-0.0029475482,-0.0026996257,0.07579191,0.4,0.00078243925,0.0007824382,0.00078123936,197644,0.0002858468,-0.00017570842,0.0018279147,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,1,1,0
6974676000,6974596000,1310996,-0.00097183534,0.00046317364,0.00038616586,0.34906584,1.3790456e-07,1.3788032e-07,3.955139e-07,1310996,-0.0029439023,-0.0027086332,0.07330749,0.4,0.0007824512,0.0007824496,0.00078123936,197644,0.0002858468,-0.00017570842,0.0018279147,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,1,1,0
6974884000,6974804000,1310996,-0.0009641935,0.0004642955,0.00038442327,0.34906584,1.37909e-07,1.3788588e-07,3.9501234e-07,1310996,-0.0029430604,-0.0027143531,0.07662875,0.4,0.0007824659,0.0007824641,0.00078123936,197644,0.0002858468,-0.00017570842,0.0018279147,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,1,1,0
6975092000,6975012000,1310996,-0.0009654043,0.00046837548,0.00038225658,0.34906584,1.3789797e-07,1.3787387e-07,3.9451882e-07,1310996,-0.0029391292,-0.00271221,0.07311197,0.4,0.0007824772,0.00078247534,0.00078123936,197644,0.0002858468,-0.00017570842,0.0018279147,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,1,1,0
6975300000,6975220000,1310996,-0.0009592705,0.00046869772,0.0003812276,0.34906584,1.3790488e-07,1.3788183e-07,3.9402806e-07,1310996,-0.0029394855,-0.0027171292,0.07712,0.4,0.00078249193,0.0007824899,0.00078123936,197644,0.0002858468,-0.00017570842,0.0018279147,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,1,1,0
6975716000,6975636000,1310996,-0.00096551044,0.00049108063,0.00038271977,0.34906584,1.3790076e-07,1.378718e-07,3.9304737e-07,1310996,-0.0029236693,-0.0027089429,0.07559556,0.4,0.0007825183,0.0007825169,0.00078123936,197644,0.0002858468,-0.00017570842,0.0018279147,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,1,1,0
6976132000,6976052000,1310996,-0.0009550694,0.00050607655,0.0003775256,0.34906584,1.3790206e-07,1.378721e-07,3.920877e-07,1310996,-0.0029138462,-0.002714434,0.076679714,0.4,0.0007825467,0.00078254525,0.00078123936,197644,0.0002858468,-0.00017570842,0.0018279147,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,1,1,0
6977132000,6977052000,1310996,-0.0009551951,0.0005068546,0.00037086327,0.34906584,1.4573814e-07,1.4570955e-07,3.901772e-07,1310996,-0.0029140008,-0.0027140288,0.07677349,0.4,0.000782618,0.00078261655,0.00078124227,197644,0.0002858468,-0.00017570842,0.0018279147,0.5,0.0025000002,0.0025000002,0.0025000002,1,0,1,0,1,0
6977844000,6977764000,1310996,-0.0009581679,0.00051198894,0.0003730641,0.34906584,1.5011899e-07,1.5008936e-07,3.8884792e-07,1310996,-0.0028627038,-0.0026817787,0.07523684,0.4,0.0007825398,0.00078253844,0.00078123936,197644,0.0002858468,-0.00017570842,0.0018279147,0.5,0.0025000002,0.0025000002,0.0025000002,1,0,1,0,1,0
6978836000,6978756000,1310996,-0.0009587219,0.0005138761,0.00036392862,0.34906584,1.541114e-07,1.5408396e-07,3.8842103e-07,1310996,-0.0028675187,-0.0026585239,0.07675994,0.4,0.0007822581,0.0007822578,0.00078123936,197644,0.0002858468,-0.00017570842,0.0018279147,0.5,0.0025000002,0.0025000002,0.0025000002,1,0,1,0,1,0
6979836000,6979756000,1310996,-0.0009600445,0.00051738124,0.00036390836,0.34906584,1.5861823e-07,1.5859173e-07,3.96414e-07,1310996,-0.0029333641,-0.0026524866,0.07666436,0.4,0.0007812405,0.0007812405,0.00078123994,197644,0.0002858468,-0.00017570842,0.0018279147,0.5,0.0025000002,0.0025000002,0.0025000002,1,0,1,0,1,0
6980812000,6980732000,1310996,-0.000958093,0.0005207273,0.00036404066,0.34906584,1.6393045e-07,1.6390433e-07,4.0419397e-07,1310996,-0.0032187619,-0.0020533148,0.075733006,0.4,0.00078123936,0.00078123936,0.00078123936,197644,0.0002858468,-0.00017570842,0.0018279147,0.5,0.0025000002,0.0025000002,0.0025000002,1,0,1,0,1,0
6981228000,6981148000,1310996,-0.0009584471,0.00052415003,0.00036424355,0.34906584,1.6629713e-07,1.6627092e-07,4.075042e-07,1310996,-0.0037536244,-0.002019069,0.07439498,0.4,0.00078123936,0.00078123936,0.00078123936,197644,0.0002858468,-0.00017570842,0.0018279147,0.5,0.0025000002,0.0025000002,0.0025000002,1,0,1,0,1,0
6982004000,6981924000,1310996,-0.00095576094,0.00053169316,0.00036448645,0.34906584,1.7134293e-07,1.713128e-07,4.1365374e-07,1310996,-0.0052351854,-0.0012978549,0.074119784,0.4,0.00078123936,0.00078123936,0.00078123936,197644,0.0002858468,-0.00017570842,0.0018279147,0.5,0.0025000002,0.0025000002,0.0025000002,1,0,1,0,1,0
6982628000,6982548000,1310996,-0.00095749024,0.0005380018,0.00036522432,0.34906584,1.7540575e-07,1.7534803e-07,4.1857237e-07,1310996,-0.0064424197,-0.0015723035,0.07388799,0.4,0.00078123936,0.00078123936,0.00078123936,197644,0.0002858468,-0.00017570842,0.0018279147,0.5,0.0025000002,0.0025000002,0.0025000002,1,0,1,0,1,0
6982684000,6982604000,1310996,-0.00095749064,0.00053800124,0.00036522432,0.34906584,1.7585374e-07,1.7579605e-07,4.1902038e-07,1310996,-0.006442616,-0.0015722419,0.07391196,0.4,0.00078124326,0.0007812434,0.00078123994,197644,0.001932046,-0.00060068554,0.00093000993,0.5,0.0014137485,0.0015549081,0.0016310972,1,0,1,0,1,0
6982748000,6982668000,1310996,-0.0009574923,0.0005379995,0.00036522435,0.34906584,1.7636576e-07,1.7630805e-07,4.195324e-07,1310996,-0.006443422,-0.001571972,0.073996514,0.4,0.0007812477,0.000781248,0.00078124047,197644,0.00026185616,-0.0006315965,0.00095009827,0.5,0.0010936264,0.0013210514,0.0014425466,1,0,1,0,1,0
6982892000,6982812000,1310996,-0.0009593317,0.0005392103,0.0003653431,0.34906584,1.772578e-07,1.7718342e-07,4.2068382e-07,1310996,-0.006647205,-0.0019303496,0.07408775,0.4,0.00078124326,0.00078124343,0.00078124227,197644,1.1947146e-05,-0.0014032947,0.0015474227,0.5,0.000846833,0.0011515034,0.0013118522,1,0,1,0,1,0
6983404000,6983324000,1310996,-0.00096351636,0.0005407958,0.00036522173,0.34906584,1.8081768e-07,1.8069383e-07,4.2477848e-07,1310996,-0.0069545745,-0.0026118564,0.07509621,0.4,0.00078123936,0.00078123936,0.00078123936,197644,0.00017362906,-0.000909107,0.0017131782,0.5,0.00063430145,0.0010156702,0.0012102867,1,0,1,0,1,0
6983844000,6983764000,1310996,-0.0009661655,0.0005430689,0.00036442978,0.34906584,1.8376895e-07,1.8357782e-07,4.282715e-07,1310996,-0.007303445,-0.0029545624,0.07599253,0.4,0.0007812401,0.00078124093,0.00078123936,197644,0.00036636007,-0.0009116159,0.0015426696,0.5,0.0005817094,0.0009856188,0.0011888546,1,0,1,0,1,0
6984236000,6984156000,1310996,-0.0009680795,0.00054092717,0.0003641762,0.34906584,1.8629684e-07,1.8603198e-07,4.3132457e-07,1310996,-0.007187094,-0.0030497918,0.07736565,0.4,0.00078123936,0.00078123936,0.00078123936,197644,0.0005623276,-0.00091129524,0.0015515955,0.5,0.0005581831,0.0009728664,0.0011801407,1,0,1,0,1,0
6984812000,6984732000,1310996,-0.00097095483,0.0005381451,0.00036367917,0.34906584,1.8999842e-07,1.8965501e-07,4.3570233e-07,1310996,-0.0071505704,-0.003169565,0.07898951,0.4,0.00078123936,0.00078123936,0.00078123936,197644,0.0006301276,-0.0009314827,0.001453157,0.5,0.00053445145,0.00096270425,0.0011725175,1,0,1,0,1,0
6985228000,6985148000,1310996,-0.0009710789,0.00053461577,0.0003646764,0.34906584,1.9230205e-07,1.9190107e-07,4.386983e-07,1310996,-0.007146224,-0.0030810256,0.08033839,0.4,0.00078123936,0.00078123936,0.00078123936,197644,0.0005820555,-0.001027337,0.0014973832,0.5,0.00052197376,0.00095874816,0.0011690994,1,0,1,0,1,0
6985644000,6985564000,1310996,-0.00097021146,0.00052969455,0.0003665732,0.34906584,1.9441124e-07,1.9397405e-07,4.415469e-07,1310996,-0.007152886,-0.0028624355,0.08190269,0.4,0.00078123936,0.00078123936,0.00078123936,197644,0.0005619897,-0.0010570668,0.0015021277,0.5,0.000510946,0.00095641887,0.0011667439,1,0,1,0,1,0
6986220000,6986140000,1310996,-0.0009671817,0.0005236769,0.00036981062,0.34906584,1.9718756e-07,1.9673465e-07,4.453251e-07,1310996,-0.007197992,-0.00255566,0.083503544,0.4,0.00078123936,0.00078123936,0.00078123936,197644,0.0007322073,-0.0010868754,0.0015786929,0.5,0.0004984278,0.000954411,0.0011644592,1,0,1,0,1,0
6986636000,6986556000,1310996,-0.0009685081,0.00052107614,0.00036968122,0.34906584,1.9858959e-07,1.981185e-07,4.4746278e-07,1310996,-0.0074078497,-0.0024679932,0.08495373,0.4,0.00078123936,0.00078123936,0.00078123936,197644,0.0007322073,-0.0010868754,0.0015786929,0.5,0.0004984278,0.000954411,0.0011644592,1,0,1,0,1,0
6986844000,6986764000,1310996,-0.00096752757,0.00051817705,0.0003713309,0.34906584,1.9921194e-07,1.9872522e-07,4.4849656e-07,1310996,-0.007613481,-0.0022774437,0.08627922,0.4,0.00078123936,0.00078123936,0.00078123936,197644,0.0007322073,-0.0010868754,0.0015786929,0.5,0.0004984278,0.000954411,0.0011644592,1,0,1,0,1,0
6987204000,6987124000,1310996,-0.00096573425,0.0005167194,0.00037274283,0.34906584,2.0074651e-07,2.0023168e-07,4.5051314e-07,1310996,-0.007826452,-0.0021182485,0.08739908,0.4,0.00078123936,0.00078123936,0.00078123936,197644,0.0007322073,-0.0010868754,0.0015786929,0.5,0.0004984278,0.000954411,0.0011644592,1,0,1,0,1,0
6987620000,6987540000,1310996,-0.00096686307,0.0005063163,0.00037507009,0.34906584,2.0131303e-07,2.0071538e-07,4.523269e-07,1310996,-0.008014911,-0.0018854651,0.08946631,0.4,0.00078123936,0.00078123936,0.00078123936,197644,0.0007322073,-0.0010868754,0.0015786929,0.5,0.0004984278,0.000954411,0.0011644592,1,0,1,0,1,0
6988044000,6987964000,1310996,-0.000964437,0.00050056854,0.00037740314,0.34906584,2.0177984e-07,2.0106152e-07,4.541678e-07,1310996,-0.008227807,-0.00170024,0.090865,0.4,0.00078123936,0.00078123936,0.00078123936,197644,0.0007322073,-0.0010868754,0.0015786929,0.5,0.0004984278,0.000954411,0.0011644592,1,0,1,0,1,0
6988604000,6988524000,1310996,-0.00096445257,0.0004965818,0.00037753186,0.34906584,2.0285216e-07,2.0195863e-07,4.5683217e-07,1310996,-0.008564291,-0.0015561737,0.09263234,0.4,0.00078123936,0.00078123936,0.00078123936,197644,0.0007322073,-0.0010868754,0.0015786929,0.5,0.0004984278,0.000954411,0.0011644592,1,0,1,0,1,0
6989020000,6988940000,1310996,-0.0009633273,0.00049415836,0.00037796053,0.34906584,2.0239166e-07,2.0126824e-07,4.5834224e-07,1310996,-0.008883702,-0.0014298812,0.094217755,0.4,0.00078123936,0.00078123936,0.00078123936,197644,0.0007322073,-0.0010868754,0.0015786929,0.5,0.0004984278,0.000954411,0.0011644592,1,0,1,0,1,0
6989444000,6989364000,1310996,-0.0009604606,0.0004902095,0.0003796266,0.34906584,2.0192738e-07,2.005455e-07,4.599305e-07,1310996,-0.009206152,-0.0012880254,0.09577162,0.4,0.00078123936,0.00078123936,0.00078123936,197644,0.0007322073,-0.0010868754,0.0015786929,0.5,0.0004984278,0.000954411,0.0011644592,1,0,1,0,1,0
6990012000,6989932000,1310996,-0.0009573464,0.0004915189,0.0003793309,0.34906584,2.0186395e-07,2.0016178e-07,4.6233453e-07,1310996,-0.009544632,-0.0012258227,0.09723279,0.4,0.00078123936,0.00078123936,0.00078123936,197644,0.0007322073,-0.0010868754,0.0015786929,0.5,0.0004984278,0.000954411,0.0011644592,1,0,1,0,1,0
6990636000,6990556000,1310996,-0.0009565958,0.0004836738,0.0003812539,0.34906584,2.0017706e-07,1.9797943e-07,4.6439916e-07,1310996,-0.009746868,-0.0011143894,0.09848581,0.4,0.00078123936,0.00078123936,0.00078123936,197644,0.0007322073,-0.0010868754,0.0015786929,0.5,0.0004984278,0.000954411,0.0011644592,1,0,1,0,1,0
6991212000,6991132000,1310996,-0.000958324,0.0004797323,0.00038028177,0.34906584,1.9993975e-07,1.973857e-07,4.66828e-07,1310996,-0.010004218,-0.0010205107,0.099955134,0.4,0.00078123936,0.00078123936,0.00078123936,197644,0.0007322073,-0.0010868754,0.0015786929,0.5,0.0004984278,0.000954411,0.0011644592,1,0,1,0,1,0
6991620000,6991540000,1310996,-0.0009529087,0.00048417077,0.0003811043,0.34906584,1.9822146e-07,1.9528756e-07,4.6799454e-07,1310996,-0.010272687,-0.0010149309,0.10123273,0.4,0.00078123936,0.00078123936,0.00078123936,197644,0.0007322073,-0.0010868754,0.0015786929,0.5,0.0004984278,0.000954411,0.0011644592,1,0,1,0,1,0
6992364000,6992284000,1310996,-0.0009517777,0.0004862493,0.00038101888,0.34906584,1.9935278e-07,1.9609787e-07,4.7166282e-07,1310996,-0.010444623,-0.0009893557,0.102228016,0.4,0.00078123936,0.0007812408,0.00078123936,197644,0.0007322073,-0.0010868754,0.0015786929,0.5,0.0004984278,0.000954411,0.0011644592,1,0,1,0,1,0
6992612000,6992532000,1310996,-0.0009473813,0.0004899855,0.00038214645,0.34906584,1.9600505e-07,1.9230866e-07,4.7153495e-07,1310996,-0.010668672,-0.0009903044,0.103536665,0.4,0.00078123936,0.00078123936,0.00078123936,197644,0.0007322073,-0.0010868754,0.0015786929,0.5,0.0004984278,0.000954411,0.0011644592,1,0,1,0,1,0
6993028000,6992948000,1310996,-0.0009410257,0.0004970319,0.0003828831,0.34906584,1.9435167e-07,1.9026692e-07,4.7274793e-07,1310996,-0.010864991,-0.0010431191,0.10473265,0.4,0.00078123936,0.00078123936,0.00078123936,197644,0.0007322073,-0.0010868754,0.0015786929,0.5,0.0004984278,0.000954411,0.0011644592,1,0,1,0,1,0
6993964000,6993884000,1310996,-0.0009330858,0.0005021,0.00038270396,0.34906584,1.9432474e-07,1.8970718e-07,4.7673004e-07,1310996,-0.011037555,-0.0011318445,0.10573104,0.4,0.00078123936,0.00078124175,0.00078123936,197644,0.0007322073,-0.0010868754,0.0015786929,0.5,0.0004984278,0.000954411,0.0011644592,1,0,1,0,1,0
6994436000,6994356000,1310996,-0.0009218701,0.0005156815,0.0003852334,0.34906584,1.9067146e-07,1.8542885e-07,4.7745175e-07,1310996,-0.01122342,-0.0012701264,0.10738659,0.4,0.00078123936,0.00078123936,0.00078123936,197644,0.0007322073,-0.0010868754,0.0015786929,0.5,0.0004984278,0.000954411,0.0011644592,1,0,1,0,1,0
6995004000,6994924000,1310996,-0.0009161475,0.0005197645,0.00038765182,0.34906584,1.9022517e-07,1.8458894e-07,4.7960935e-07,1310996,-0.011341818,-0.0013276683,0.10840804,0.4,0.00078123936,0.00078123936,0.00078123936,197644,0.0007322073,-0.0010868754,0.0015786929,0.5,0.0004984278,0.000954411,0.0011644592,1,0,1,0,1,0
6995628000,6995548000,1310996,-0.0009078098,0.0005265379,0.00038618533,0.34906584,1.8818696e-07,1.8179648e-07,4.811019e-07,1310996,-0.011461985,-0.0014588401,0.10959862,0.4,0.00078123936,0.00078123936,0.00078123936,197644,0.0007322073,-0.0010868754,0.0015786929,0.5,0.0004984278,0.000954411,0.0011644592,1,0,1,0,1,0
6996412000,6996332000,1310996,-0.0008910453,0.00052643276,0.00039624036,0.34906584,1.884174e-07,1.8076497e-07,4.826379e-07,1310996,-0.011630286,-0.0016106939,0.111119665,0.4,0.00078123936,0.00078123936,0.00078123936,197644,0.0007322073,-0.0010868754,0.0015786929,0.5,0.0004984278,0.000954411,0.0011644592,1,0,1,0,1,0
6996732000,6996652000,1310996,-0.0008838929,0.00052800943,0.00039974155,0.34906584,1.8896061e-07,1.8079335e-07,4.8319845e-07,1310996,-0.011590894,-0.0016756395,0.11171113,0.4,0.00078123936,0.00078123936,0.00078123936,197644,0.0015734957,-0.0011740425,0.00055384694,0.5,0.00041996935,0.0007516259,0.00088882504,1,0,1,0,1,0
6997012000,6996932000,1310996,-0.00087472884,0.00052481215,0.00041019268,0.34906584,1.8932927e-07,1.8059318e-07,4.8387426e-07,1310996,-0.011675009,-0.0016766755,0.11141311,0.4,0.00078123936,0.00078123936,0.00078123936,197644,0.0009345923,-0.0004916245,0.00017796765,0.5,0.00027937442,0.00057522324,0.00069956016,1,0,1,0,1,0
6997588000,6997508000,1310996,-0.00085111574,0.0005368778,0.00042571538,0.34906584,1.906087e-07,1.8063642e-07,4.8599185e-07,1310996,-0.011554914,-0.0018957335,0.111604445,0.4,0.00078123936,0.00078123936,0.00078123936,197644,0.0018630733,-0.0004318188,0.00067363493,0.5,0.00019378583,0.0005090224,0.000644594,1,0,1,0,1,0
6998588000,6998508000,1310996,-0.0008130954,0.00056169997,0.00044685445,0.34906584,1.8923788e-07,1.7653696e-07,4.904391e-07,1310996,-0.011413106,-0.0022252286,0.11144166,0.4,0.00078123994,0.00078124105,0.00078123994,197644,0.0017330175,-0.0001804498,0.00083256897,0.5,0.00014820178,0.00048083664,0.00062382343,1,0,1,0,1,0
6999588000,6999508000,1310996,-0.0007958362,0.0005862093,0.00045012304,0.34906584,1.8820042e-07,1.7482148e-07,4.9755346e-07,1310996,-0.011289998,-0.0023699787,0.11100514,0.4,0.00078124105,0.000781245,0.00078123936,197644,0.0019366516,-0.00039989885,0.0007468339,0.5,0.00013044925,0.00047078464,0.0006163973,1,0,1,0,1,0
7000412000,7000332000,1310996,-0.0007892565,0.00060304534,0.0004525904,0.34906584,1.8448222e-07,1.7176427e-07,5.0292215e-07,1310996,-0.011463239,-0.0023192652,0.109463364,0.4,0.00078123936,0.00078123936,0.00078123936,197644,0.0017617481,-0.00020721747,0.00073995104,0.5,0.00012508157,0.00046775283,0.0006139809,1,0,1,0,1,0
7001036000,7000956000,1310996,-0.0007933858,0.000617036,0.00045592245,0.34906584,1.8153797e-07,1.6988734e-07,5.055854e-07,1310996,-0.011580666,-0.0021879098,0.108238466,0.4,0.00078123936,0.00078123936,0.00078123936,197644,0.0017617481,-0.00020721747,0.00073995104,0.5,0.00012508157,0.00046775283,0.0006139809,1,0,1,0,1,0
