timestamp,data_rate,rate_multiplier,tx_rate_avg,tx_error_rate_avg,tx_message_count,tx_buffer_overruns,rx_rate_avg,rx_message_count,rx_message_lost_count,rx_buffer_overruns,rx_parse_errors,rx_packet_drop_count,rx_message_lost_rate,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams,heartbeat_type_antenna_tracker,heartbeat_type_gcs,heartbeat_type_onboard_controller,heartbeat_type_gimbal,heartbeat_type_adsb,heartbeat_type_camera,heartbeat_type_parachute,heartbeat_component_telemetry_radio,heartbeat_component_log,heartbeat_component_osd,heartbeat_component_obstacle_avoidance,heartbeat_component_vio,heartbeat_component_pairing_manager,heartbeat_component_udp_bridge,heartbeat_component_uart_bridge,avoidance_system_healthy,parachute_system_healthy
6971720000,4000.0,0.13674296,3481.0757,0.0,443532,0,0.0,0,0,0,0,0,0.0,0,2,0,1,1,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6972720000,4000.0,0.13674296,3807.769,0.0,443596,0,0.0,0,0,0,0,0,0.0,0,2,0,1,1,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6972972000,4000.0,0.13674296,3674.303,0.0,443608,0,0.0,0,0,0,0,0,0.0,0,2,0,1,1,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6974232000,4000.0,0.13674296,3502.988,0.0,443690,0,0.0,0,0,0,0,0,0.0,0,2,0,1,1,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6975488000,4000.0,0.13674296,3706.1753,0.0,443772,0,0.0,0,0,0,0,0,0.0,0,2,0,1,1,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6976740000,4000.0,0.13674296,3634.4622,0.0,443844,0,0.0,0,0,0,0,0,0.0,0,2,0,1,1,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6977740000,4000.0,0.13674296,4081.6733,0.0,443920,0,0.0,0,0,0,0,0,0.0,0,2,0,1,1,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6977992000,4000.0,0.13674296,3822.7092,0.0,443931,0,0.0,0,0,0,0,0,0.0,0,2,0,1,1,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6979252000,4000.0,0.13674296,3591.6335,0.0,444014,0,0.0,0,0,0,0,0,0.0,0,2,0,1,1,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6980508000,4000.0,0.13674296,3773.9045,0.0,444097,0,0.0,0,0,0,0,0,0.0,0,2,0,1,1,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6981756000,4000.0,0.13674296,3583.6655,0.0,444172,0,0.0,0,0,0,0,0,0.0,0,2,0,1,1,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
