timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
6970976000,0,0.8525565,-0.0016069224,-0.0021675075,-0.5226367,0.0,0.0,0.0,0.0,0
6970980000,0,0.85255903,-0.0016777489,-0.00212359,-0.5226327,0.0,0.0,0.0,0.0,0
6970988000,0,0.8525601,-0.0016887722,-0.0021159572,-0.5226309,0.0,0.0,0.0,0.0,0
6970996000,0,0.85256076,-0.0016984084,-0.0021093152,-0.5226298,0.0,0.0,0.0,0.0,0
6971004000,0,0.8525614,-0.0016355861,-0.002146884,-0.5226287,0.0,0.0,0.0,0.0,0
6971012000,0,0.8525618,-0.0015480109,-0.0022001064,-0.5226282,0.0,0.0,0.0,0.0,0
6971028000,0,0.85257125,-0.0016812817,-0.0021138194,-0.5226127,0.0,0.0,0.0,0.0,0
6971036000,0,0.852574,-0.0016920103,-0.0021063357,-0.5226083,0.0,0.0,0.0,0.0,0
6971044000,0,0.85257626,-0.0016270683,-0.0021455686,-0.5226046,0.0,0.0,0.0,0.0,0
6971056000,0,0.8525759,-0.0016158646,-0.0021519049,-0.5226052,0.0,0.0,0.0,0.0,0
6971068000,0,0.85258,-0.0017080934,-0.0020947424,-0.52259845,0.0,0.0,0.0,0.0,0
6971072000,0,0.8525801,-0.0016396941,-0.0021360775,-0.52259845,0.0,0.0,0.0,0.0,0
6971084000,0,0.8525839,-0.0015511756,-0.0021893452,-0.5225922,0.0,0.0,0.0,0.0,0
6971096000,0,0.8525878,-0.0016568728,-0.0021229337,-0.52258575,0.0,0.0,0.0,0.0,0
6971108000,0,0.85258985,-0.0016019744,-0.002155105,-0.5225825,0.0,0.0,0.0,0.0,0
6971116000,0,0.85259223,-0.0016148012,-0.0021463062,-0.52257854,0.0,0.0,0.0,0.0,0
6971128000,0,0.85259557,-0.0016817342,-0.0021040419,-0.52257305,0.0,0.0,0.0,0.0,0
6971132000,0,0.85259414,-0.0016088379,-0.002148225,-0.5225755,0.0,0.0,0.0,0.0,0
6971148000,0,0.852598,-0.0015914376,-0.0021572348,-0.5225692,0.0,0.0,0.0,0.0,0
6971156000,0,0.85259753,-0.0016166345,-0.002140882,-0.52256995,0.0,0.0,0.0,0.0,0
6971168000,0,0.85260165,-0.0016323229,-0.0021295687,-0.5225633,0.0,0.0,0.0,0.0,0
6971176000,0,0.85260344,-0.0015431955,-0.0021835864,-0.52256036,0.0,0.0,0.0,0.0,0
6971188000,0,0.8526074,-0.0016564069,-0.0021118675,-0.52255386,0.0,0.0,0.0,0.0,0
6971196000,0,0.8526096,-0.0016724489,-0.0021008668,-0.5225503,0.0,0.0,0.0,0.0,0
6971208000,0,0.85261214,-0.0016144085,-0.0021350093,-0.5225462,0.0,0.0,0.0,0.0,0
