timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,apply_flaps
6970976000,-0.0,-0.0,-1.0531324,0.0,0.8645379,-0.0,0.0,-0.50256765,0.0,0.0,-0.001,0,0,0,0,0
6970984000,-0.0,-0.0,-1.0531324,0.0,0.8645379,-0.0,0.0,-0.50256765,0.0,0.0,-0.001,0,0,0,0,0
6971024000,-0.0,-0.0,-1.0531437,0.0,0.86453503,-0.0,0.0,-0.5025726,0.0,0.0,-0.001,0,0,0,0,0
6971072000,-0.0,-0.0,-1.0531505,0.0,0.8645333,-0.0,0.0,-0.5025755,0.0,0.0,-0.001,0,0,0,0,0
6971128000,-0.0,-0.0,-1.0530521,0.0,0.8645581,-0.0,0.0,-0.502533,0.0,0.0,-0.001,0,0,0,0,0
6971176000,-0.0,-0.0,-1.053055,0.0,0.8645573,-0.0,0.0,-0.5025342,0.0,0.0,-0.001,0,0,0,0,0
6971224000,-0.0,-0.0,-1.0529556,0.0,0.8645823,-0.0,0.0,-0.5024913,0.0,0.0,-0.001,0,0,0,0,0
6971272000,-0.0,-0.0,-1.0529152,0.0,0.86459243,-0.0,0.0,-0.5024738,0.0,0.0,-0.001,0,0,0,0,0
6971320000,-0.0,-0.0,-1.0528986,0.0,0.86459666,-0.0,0.0,-0.5024667,0.0,0.0,-0.001,0,0,0,0,0
6971368000,-0.0,-0.0,-1.0528346,0.0,0.8646127,-0.0,0.0,-0.502439,0.0,0.0,-0.001,0,0,0,0,0
6971424000,-0.0,-0.0,-1.0527033,0.0,0.8646457,-0.0,0.0,-0.5023821,0.0,0.0,-0.001,0,0,0,0,0
6971472000,-0.0,-0.0,-1.0526627,0.0,0.86465585,-0.0,0.0,-0.50236464,0.0,0.0,-0.001,0,0,0,0,0
6971520000,-0.0,-0.0,-1.0525364,0.0,0.8646876,-0.0,0.0,-0.50231004,0.0,0.0,-0.001,0,0,0,0,0
6971576000,-0.0,-0.0,-1.0523645,0.0,0.8647308,-0.0,0.0,-0.5022357,0.0,0.0,-0.001,0,0,0,0,0
6971624000,-0.0,-0.0,-1.0522559,0.0,0.8647581,-0.0,0.0,-0.50218874,0.0,0.0,-0.001,0,0,0,0,0
6971672000,-0.0,-0.0,-1.052239,0.0,0.8647623,-0.0,0.0,-0.5021814,0.0,0.0,-0.001,0,0,0,0,0
6971728000,-0.0,-0.0,-1.0523064,0.0,0.8647454,-0.0,0.0,-0.50221056,0.0,0.0,-0.001,0,0,0,0,0
6971768000,-0.0,-0.0,-1.0521505,0.0,0.86478454,-0.0,0.0,-0.50214314,0.0,0.0,-0.001,0,0,0,0,0
6971824000,-0.0,-0.0,-1.0521185,0.0,0.8647925,-0.0,0.0,-0.5021294,0.0,0.0,-0.001,0,0,0,0,0
6971872000,-0.0,-0.0,-1.0521767,0.0,0.8647779,-0.0,0.0,-0.5021545,0.0,0.0,-0.001,0,0,0,0,0
6971920000,-0.0,-0.0,-1.0521775,0.0,0.86477774,-0.0,0.0,-0.5021549,0.0,0.0,-0.001,0,0,0,0,0
6971976000,-0.0,-0.0,-1.0522666,0.0,0.8647554,-0.0,0.0,-0.50219333,0.0,0.0,-0.001,0,0,0,0,0
6972024000,-0.0,-0.0,-1.052231,0.0,0.8647643,-0.0,0.0,-0.50217795,0.0,0.0,-0.001,0,0,0,0,0
6972072000,-0.0,-0.0,-1.0521731,0.0,0.8647788,-0.0,0.0,-0.502153,0.0,0.0,-0.001,0,0,0,0,0
6972120000,-0.0,-0.0,-1.0522442,0.0,0.864761,-0.0,0.0,-0.5021837,0.0,0.0,-0.001,0,0,0,0,0
6972168000,-0.0,-0.0,-1.052194,0.0,0.8647736,-0.0,0.0,-0.502162,0.0,0.0,-0.001,0,0,0,0,0
6972224000,-0.0,-0.0,-1.0522403,0.0,0.864762,-0.0,0.0,-0.50218195,0.0,0.0,-0.001,0,0,0,0,0
6972272000,-0.0,-0.0,-1.0522838,0.0,0.86475104,-0.0,0.0,-0.50220084,0.0,0.0,-0.001,0,0,0,0,0
6972328000,-0.0,-0.0,-1.0521941,0.0,0.8647736,-0.0,0.0,-0.50216204,0.0,0.0,-0.001,0,0,0,0,0
6972376000,-0.0,-0.0,-1.0520352,0.0,0.86481345,-0.0,0.0,-0.5020933,0.0,0.0,-0.001,0,0,0,0,0
6972424000,-0.0,-0.0,-1.051918,0.0,0.8648429,-0.0,0.0,-0.50204265,0.0,0.0,-0.001,0,0,0,0,0
6972472000,-0.0,-0.0,-1.0518235,0.0,0.8648666,-0.0,0.0,-0.5020017,0.0,0.0,-0.001,0,0,0,0,0
6972520000,-0.0,-0.0,-1.0518214,0.0,0.86486715,-0.0,0.0,-0.5020008,0.0,0.0,-0.001,0,0,0,0,0
6972576000,-0.0,-0.0,-1.0517983,0.0,0.86487293,-0.0,0.0,-0.5019909,0.0,0.0,-0.001,0,0,0,0,0
6972624000,-0.0,-0.0,-1.0517421,0.0,0.86488706,-0.0,0.0,-0.50196654,0.0,0.0,-0.001,0,0,0,0,0
6972672000,-0.0,-0.0,-1.0516646,0.0,0.8649065,-0.0,0.0,-0.5019331,0.0,0.0,-0.001,0,0,0,0,0
6972720000,-0.0,-0.0,-1.0517168,0.0,0.8648934,-0.0,0.0,-0.5019556,0.0,0.0,-0.001,0,0,0,0,0
6972776000,-0.0,-0.0,-1.0515325,0.0,0.86493963,-0.0,0.0,-0.50187594,0.0,0.0,-0.001,0,0,0,0,0
6972824000,-0.0,-0.0,-1.0515321,0.0,0.86493975,-0.0,0.0,-0.50187576,0.0,0.0,-0.001,0,0,0,0,0
6972872000,-0.0,-0.0,-1.0515724,0.0,0.8649296,-0.0,0.0,-0.5018932,0.0,0.0,-0.001,0,0,0,0,0
6972928000,-0.0,-0.0,-1.0514969,0.0,0.8649486,-0.0,0.0,-0.5018605,0.0,0.0,-0.001,0,0,0,0,0
6972968000,-0.0,-0.0,-1.051502,0.0,0.86494726,-0.0,0.0,-0.50186276,0.0,0.0,-0.001,0,0,0,0,0
6973024000,-0.0,-0.0,-1.051619,0.0,0.86491793,-0.0,0.0,-0.5019133,0.0,0.0,-0.001,0,0,0,0,0
6973072000,-0.0,-0.0,-1.051576,0.0,0.8649287,-0.0,0.0,-0.5018947,0.0,0.0,-0.001,0,0,0,0,0
6973120000,-0.0,-0.0,-1.0514473,0.0,0.864961,-0.0,0.0,-0.50183904,0.0,0.0,-0.001,0,0,0,0,0
6973168000,-0.0,-0.0,-1.051476,0.0,0.8649538,-0.0,0.0,-0.50185156,0.0,0.0,-0.001,0,0,0,0,0
6973224000,-0.0,-0.0,-1.0515282,0.0,0.8649407,-0.0,0.0,-0.5018741,0.0,0.0,-0.001,0,0,0,0,0
6973272000,-0.0,-0.0,-1.0515015,0.0,0.8649474,-0.0,0.0,-0.5018625,0.0,0.0,-0.001,0,0,0,0,0
6973320000,-0.0,-0.0,-1.0514141,0.0,0.8649693,-0.0,0.0,-0.50182474,0.0,0.0,-0.001,0,0,0,0,0
6973368000,-0.0,-0.0,-1.0514128,0.0,0.8649697,-0.0,0.0,-0.5018242,0.0,0.0,-0.001,0,0,0,0,0
6973424000,-0.0,-0.0,-1.0514194,0.0,0.864968,-0.0,0.0,-0.501827,0.0,0.0,-0.001,0,0,0,0,0
6973472000,-0.0,-0.0,-1.0513698,0.0,0.86498046,-0.0,0.0,-0.50180554,0.0,0.0,-0.001,0,0,0,0,0
6973520000,-0.0,-0.0,-1.0513105,0.0,0.86499536,-0.0,0.0,-0.5017799,0.0,0.0,-0.001,0,0,0,0,0
6973576000,-0.0,-0.0,-1.0513719,0.0,0.8649799,-0.0,0.0,-0.5018065,0.0,0.0,-0.001,0,0,0,0,0
6973624000,-0.0,-0.0,-1.0513027,0.0,0.86499727,-0.0,0.0,-0.5017765,0.0,0.0,-0.001,0,0,0,0,0
6973672000,-0.0,-0.0,-1.0512155,0.0,0.86501914,-0.0,0.0,-0.50173885,0.0,0.0,-0.001,0,0,0,0,0
6973720000,-0.0,-0.0,-1.0512861,0.0,0.86500144,-0.0,0.0,-0.50176936,0.0,0.0,-0.001,0,0,0,0,0
6973768000,-0.0,-0.0,-1.0512985,0.0,0.86499834,-0.0,0.0,-0.50177467,0.0,0.0,-0.001,0,0,0,0,0
6973824000,-0.0,-0.0,-1.0513103,0.0,0.86499536,-0.0,0.0,-0.50177985,0.0,0.0,-0.001,0,0,0,0,0
6973872000,-0.0,-0.0,-1.0514098,0.0,0.86497045,-0.0,0.0,-0.5018229,0.0,0.0,-0.001,0,0,0,0,0
6973920000,-0.0,-0.0,-1.0514307,0.0,0.8649652,-0.0,0.0,-0.5018319,0.0,0.0,-0.001,0,0,0,0,0
6973976000,-0.0,-0.0,-1.0514835,0.0,0.8649519,-0.0,0.0,-0.5018547,0.0,0.0,-0.001,0,0,0,0,0
6974024000,-0.0,-0.0,-1.0515976,0.0,0.8649233,-0.0,0.0,-0.5019041,0.0,0.0,-0.001,0,0,0,0,0
6974072000,-0.0,-0.0,-1.0516144,0.0,0.86491907,-0.0,0.0,-0.50191134,0.0,0.0,-0.001,0,0,0,0,0
6974128000,-0.0,-0.0,-1.0516489,0.0,0.8649105,-0.0,0.0,-0.50192624,0.0,0.0,-0.001,0,0,0,0,0
6974176000,-0.0,-0.0,-1.0515903,0.0,0.8649251,-0.0,0.0,-0.501901,0.0,0.0,-0.001,0,0,0,0,0
6974224000,-0.0,-0.0,-1.0516404,0.0,0.8649125,-0.0,0.0,-0.5019226,0.0,0.0,-0.001,0,0,0,0,0
