timestamp,timestamp_sample,lat,lon,alt,alt_ellipsoid,delta_alt,eph,epv,terrain_alt,lat_lon_reset_counter,alt_reset_counter,terrain_alt_valid,dead_reckoning
6970976000,6970976000,41.60669820033465,-86.35561877936841,229.28633,229.26718,-0.0,1.0036185,1.0052637,229.1877,2,0,1,0
6970984000,6970984000,41.60669820031856,-86.35561877947309,229.28635,229.2672,-0.0,1.0036186,1.0052637,229.18771,2,0,1,0
6970992000,6970992000,41.60669820030195,-86.3556187796265,229.28636,229.26721,-0.0,1.0036186,1.0052637,229.18773,2,0,1,0
6971000000,6971000000,41.606698200300876,-86.35561877982006,229.28638,229.26723,-0.0,1.0036186,1.0052637,229.18774,2,0,1,0
6971008000,6971008000,41.606698200301416,-86.35561878000645,229.28638,229.26723,-0.0,1.0036186,1.0052592,229.18784,2,0,1,0
6971016000,6971016000,41.606698200254776,-86.35561878021434,229.28639,229.26724,-0.0,1.0036187,1.0052592,229.18785,2,0,1,0
6971024000,6971024000,41.60669820020011,-86.35561878046526,229.28642,229.26727,-0.0,1.0036187,1.0052592,229.18787,2,0,1,0
6971032000,6971032000,41.606698200182414,-86.35561878071906,229.28644,229.26741,-0.0,1.0036057,1.0052593,229.18788,2,0,1,0
6971040000,6971040000,41.60669820014865,-86.3556187809843,229.28647,229.26744,-0.0,1.0036057,1.0052593,229.18788,2,0,1,0
6971048000,6971048000,41.60669820008539,-86.35561878124668,229.28647,229.26744,-0.0,1.0036058,1.0052593,229.18788,2,0,1,0
6971056000,6971056000,41.60669820000927,-86.355618781532,229.28648,229.26746,-0.0,1.003606,1.0052594,229.18791,2,0,1,0
6971064000,6971064000,41.60669819995835,-86.35561878183168,229.28651,229.26749,-0.0,1.0036061,1.005255,229.18784,2,0,1,0
6971072000,6971072000,41.606698199900464,-86.35561878214136,229.28653,229.2675,-0.0,1.0036062,1.005255,229.18785,2,0,1,0
6971080000,6971080000,41.60669819981362,-86.35561878248548,229.28654,229.26752,-0.0,1.0036063,1.0052551,229.18787,2,0,1,0
6971088000,6971088000,41.60669819971123,-86.3556187828597,229.28656,229.26753,-0.0,1.0036066,1.0052552,229.18787,2,0,1,0
6971096000,6971096000,41.60669819963619,-86.35561878322818,229.28658,229.26755,-0.0,1.0036068,1.0052553,229.18788,2,0,1,0
6971104000,6971104000,41.60669819957293,-86.3556187835895,229.2866,229.26758,-0.0,1.0036069,1.0052555,229.1879,2,0,1,0
6971112000,6971112000,41.606698199503256,-86.35561878396801,229.28662,229.2676,-0.0,1.0036072,1.0052556,229.18791,2,0,1,0
6971120000,6971120000,41.60669819942178,-86.35561878437521,229.28662,229.2676,-0.0,1.0036075,1.0052557,229.18793,2,0,1,0
6971128000,6971128000,41.60669819931618,-86.35561878481109,229.28662,229.2676,-0.0,1.0036077,1.0052513,229.18797,2,0,1,0
6971136000,6971136000,41.606698199203606,-86.35561878525986,229.28664,229.26761,-0.0,1.0036081,1.0052515,229.18797,2,0,1,0
6971144000,6971144000,41.606698199091575,-86.35561878559967,229.28665,229.26762,-0.0,1.0036062,1.0052505,229.18787,2,0,1,0
6971152000,6971152000,41.606698198991346,-86.35561878591368,229.28665,229.26762,-0.0,1.0036062,1.0052505,229.18787,2,0,1,0
6971160000,6971160000,41.60669819889324,-86.35561878621047,229.28665,229.26762,-0.0,1.0036062,1.0052505,229.18785,2,0,1,0
6971168000,6971168000,41.60669819877103,-86.35561878652302,229.28665,229.26762,-0.0,1.0036062,1.0052505,229.18785,2,0,1,0
6971176000,6971176000,41.60669819863702,-86.35561878682987,229.28664,229.26761,-0.0,1.0036062,1.0052505,229.18784,2,0,1,0
6971184000,6971184000,41.60669819851909,-86.35561878711663,229.28665,229.26762,-0.0,1.0036062,1.005246,229.18794,2,0,1,0
6971192000,6971192000,41.60669819842689,-86.35561878734316,229.28665,229.26762,-0.0,1.0036062,1.005246,229.18793,2,0,1,0
6971200000,6971200000,41.60669819833255,-86.35561878751952,229.28667,229.26764,-0.0,1.0036062,1.005246,229.18791,2,0,1,0
6971208000,6971208000,41.6066981982098,-86.35561878770304,229.28667,229.26764,-0.0,1.0036063,1.005246,229.18788,2,0,1,0
6971216000,6971216000,41.6066981980463,-86.35561878786936,229.28667,229.26764,-0.0,1.0036063,1.005246,229.18787,2,0,1,0
6971224000,6971224000,41.606698197859764,-86.35561878802422,229.28665,229.26762,-0.0,1.0036063,1.005246,229.18785,2,0,1,0
6971232000,6971232000,41.606698197689305,-86.35561878816759,229.28667,229.26764,-0.0,1.0036064,1.0052462,229.18782,2,0,1,0
6971240000,6971240000,41.60669819751295,-86.35561878829806,229.28665,229.26761,-0.0,1.0035936,1.0052462,229.1878,2,0,1,0
6971248000,6971248000,41.606698197321045,-86.35561878841564,229.28665,229.26761,-0.0,1.0035936,1.0052416,229.18773,2,0,1,0
6971256000,6971256000,41.60669819713932,-86.35561878850022,229.28665,229.26761,-0.0,1.0035937,1.0052418,229.1877,2,0,1,0
6971264000,6971264000,41.606698196979586,-86.35561878856332,229.28664,229.2676,-0.0,1.0035938,1.0052418,229.18768,2,0,1,0
