timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,heading_good_for_control,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield
6970976000,6970976000,1032000,41.606704,-86.3556021,-0.6448932,-1.3867681,0.1126796,0.0003608431,0.00019367777,0.0,0.0016958148,-0.001256833,0.003210392,0.0025011813,-0.0005769825,-0.01214426,-0.016767275,0.09280516,0.10867456,-0.022438416,-1.0531324,0.01023155,229.39902,0.1,0.085147545,0.102737404,0.009056741,0.006442388,inf,inf,inf,inf,1,1,1,1,2,0,2,1,4,0,1,1,1,0
6970984000,6970984000,1032000,41.606704,-86.3556021,-0.644895,-1.3867768,0.11266918,0.0003608431,0.00019367777,0.0,0.0016728749,-0.0013870222,0.0034811147,0.0027375026,-0.0005769825,-0.01214426,-0.016767275,-0.0112952115,-0.052338306,0.09146791,-1.0531324,0.01023155,229.39902,0.1,0.085147716,0.10273749,0.009918597,0.0070643565,inf,inf,inf,inf,1,1,1,1,2,0,2,1,4,0,1,1,1,0
6970992000,6970992000,1032000,41.606704,-86.3556021,-0.64489686,-1.3867896,0.11265975,0.0003608431,0.00019367777,0.0,0.0017632735,-0.0021788846,0.0033922552,0.0026153317,-0.0005769825,-0.01214426,-0.016767275,0.026398523,-0.094301835,-0.01092727,-1.0531262,0.01023155,229.39902,0.1,0.08514795,0.10273759,0.01071904,0.007642372,inf,inf,inf,inf,1,1,1,1,2,0,2,1,4,0,1,1,1,0
6971000000,6971000000,1032000,41.606704,-86.3556021,-0.644897,-1.3868057,0.11264756,0.0003608431,0.00019367777,0.0,0.0019937644,-0.002148943,0.0030268554,0.00221769,-0.0005769825,-0.01214426,-0.016767275,0.023908641,0.03783864,-0.023671487,-1.053153,0.01023155,229.39902,0.1,0.08514826,0.102737725,0.011468287,0.008185745,inf,inf,inf,inf,1,1,1,1,2,0,2,1,4,0,1,1,1,0
6971008000,6971008000,1032000,41.606704,-86.3556021,-0.6448969,-1.3868212,0.11263755,0.0003608431,0.00019367777,0.0,0.0017079778,-0.0022285974,0.0047175926,0.0038748793,-0.0005769825,-0.01214426,-0.016767275,-0.06499791,-0.017252654,0.24547048,-1.0531425,0.01023155,229.39902,0.1,0.08514866,0.10269367,0.012176291,0.008700977,inf,inf,inf,inf,1,1,1,1,2,0,2,1,4,0,1,1,1,0
6971016000,6971016000,1032000,41.606704,-86.3556021,-0.6449021,-1.3868384,0.11262474,0.0003608431,0.00019367777,0.0,0.00086676,-0.0027092036,0.0023009945,0.0014258912,-0.0005769825,-0.01214426,-0.016767275,-0.080036625,-0.08046761,-0.30669108,-1.053151,0.01023155,229.39902,0.1,0.08514917,0.10269389,0.012850253,0.009192798,inf,inf,inf,inf,1,1,1,1,2,0,2,1,4,0,1,1,1,0
6971024000,6971024000,1032000,41.606704,-86.3556021,-0.6449082,-1.3868593,0.112599574,0.0003608431,0.00019367777,0.0,0.0014634226,-0.0029206309,0.0018368798,0.0009305676,-0.0005769825,-0.01214426,-0.016767275,0.09998222,0.013517142,-0.03778661,-1.0531437,0.01023155,229.39902,0.1,0.085149795,0.10269416,0.013495352,0.009664783,inf,inf,inf,inf,1,1,1,1,2,0,2,1,4,0,1,1,1,0
6971032000,6971032000,1032000,41.606704,-86.3556021,-0.64491016,-1.3868804,0.11257453,0.0003608431,0.00019367777,0.0,0.0016351456,-0.0029543014,0.0026061055,0.0016697443,-0.0005769825,-0.01214426,-0.016767275,-0.0072908206,-0.021435421,0.16163841,-1.0531788,0.01023155,229.39902,0.1,0.08499662,0.1026945,0.014107586,0.010117152,inf,inf,inf,inf,1,1,1,1,2,0,2,1,4,0,1,1,1,0
6971040000,6971040000,1032000,41.606704,-86.3556021,-0.6449139,-1.3869025,0.11255432,0.0003608431,0.00019367777,0.0,0.001106104,-0.0030911723,0.0028077015,0.0018424232,-0.0005769825,-0.01214426,-0.016767275,-0.06657025,0.0074923825,0.012840081,-1.0531768,0.01023155,229.39902,0.1,0.08499752,0.10269489,0.014704775,0.0105572995,inf,inf,inf,inf,1,1,1,1,2,0,2,1,4,0,1,1,1,0
6971048000,6971048000,1032000,41.606704,-86.3556021,-0.64492095,-1.3869243,0.11254185,0.0003608431,0.00019367777,0.0,0.0008070186,-0.003104209,0.004764217,0.00377113,-0.0005769825,-0.01214426,-0.016767275,-0.034810416,-0.01764155,0.27057707,-1.0531375,0.01023155,229.39902,0.1,0.08499858,0.10269535,0.015286303,0.0109843705,inf,inf,inf,inf,1,1,1,1,2,0,2,1,4,0,1,1,1,0
6971056000,6971056000,1032000,41.606704,-86.3556021,-0.6449294,-1.386948,0.11252763,0.0003608431,0.00019367777,0.0,0.0008775726,-0.003497878,0.0022571925,0.001237382,-0.0005769825,-0.01214426,-0.016767275,0.049405344,-0.034567595,-0.32791406,-1.0531452,0.01023155,229.39902,0.1,0.0849998,0.10269589,0.015848912,0.011399825,inf,inf,inf,inf,1,1,1,1,2,0,2,1,4,0,1,1,1,0
6971064000,6971064000,1032000,41.606704,-86.3556021,-0.6449351,-1.3869729,0.112505935,0.0003608431,0.00019367777,0.0,0.0011752675,-0.0035081643,0.0025114205,0.001468692,-0.0005769825,-0.01214426,-0.016767275,-0.0010390171,0.003006863,0.0858418,-1.0531535,0.01023155,229.39902,0.1,0.085001215,0.10265233,0.016395604,0.0118049,inf,inf,inf,inf,1,1,1,1,2,0,2,1,4,0,1,1,1,0
6971072000,6971072000,1032000,41.606704,-86.3556021,-0.6449415,-1.3869987,0.11248571,0.0003608431,0.00019367777,0.0,0.0008037383,-0.0038148034,0.002444548,0.0013798429,-0.0005769825,-0.01214426,-0.016767275,-0.04327166,-0.051179335,-0.010266031,-1.0531505,0.01023155,229.39902,0.1,0.08500283,0.10265304,0.016928755,0.012200631,inf,inf,inf,inf,1,1,1,1,2,0,2,1,4,0,1,1,1,0
6971080000,6971080000,1032000,41.606704,-86.3556021,-0.64495116,-1.3870273,0.11247265,0.0003608431,0.00019367777,0.0,0.0003523927,-0.00419011,0.0045424965,0.0034567358,-0.0005769825,-0.01214426,-0.016767275,-0.053737458,-0.033352524,0.31154317,-1.0531533,0.01023155,229.39902,0.1,0.08500465,0.10265384,0.017449558,0.012587889,inf,inf,inf,inf,1,1,1,1,2,0,2,1,4,0,1,1,1,0
